Year,Nmonth ,Month,SKU,ShipToCode,Issued
2015,8,MAY,05168718,CD3L,1 
2015,8,MAY,05168719,3L,40 
2015,8,MAY,05168720,3L,100 
2015,8,MAY,05168721,3L,10 
2015,8,MAY,05168722,3L,50 
2015,8,MAY,05168723,3L,50 
2015,8,MAY,05168724,CD3D,1 
2015,8,MAY,05168725,CD3L,38 
2015,8,MAY,05168726,CD3L,13 
2015,8,MAY,05168727,CD3L,6 
2015,8,MAY,05168728,CD3L,4 
2015,8,MAY,05168729,CD3L,9 
2015,8,MAY,05168730,CD3L,27 
2015,8,MAY,05168731,CD3L,18 
2015,8,MAY,05168732,CD3L,5 
2015,8,MAY,05168733,CD3L,32 
2015,8,MAY,05168734,CD3L,1 
2015,8,MAY,05168735,CD3L,2 
2015,8,MAY,05168736,CD3L,2 
2015,8,MAY,05168737,CD3L,7 
2015,8,MAY,05168738,CD3L,1 
2015,8,MAY,05168739,CD3L,1 
2015,8,MAY,05168740,CD3L,12 
2015,2,NOVEMBER,05168741,3P,2146 
2015,2,NOVEMBER,05168742,3P,126 
2015,2,NOVEMBER,05168743,CD3P,1 
2015,2,NOVEMBER,05168744,CD3P,2 
2015,2,NOVEMBER,05168745,CD3P,1 
2015,2,NOVEMBER,05168746,CD3P,3 
2015,2,NOVEMBER,05168747,3P,116 
2015,2,NOVEMBER,05168748,3P,56 
2015,2,NOVEMBER,05168749,3P,940 
2015,2,NOVEMBER,05168750,3P,405 
2015,2,NOVEMBER,05168751,3P,1400 
2015,2,NOVEMBER,05168752,CD3P,3 
2015,2,NOVEMBER,05168753,3D,156 
2015,2,NOVEMBER,05168754,3D,450 
2015,2,NOVEMBER,05168755,3D,200 
2015,2,NOVEMBER,05168756,3D,30 
2015,2,NOVEMBER,05168757,3D,950 
2015,2,NOVEMBER,05168758,3D,72 
2015,2,NOVEMBER,05168759,3D,280 
2015,2,NOVEMBER,05168760,3P,296 
2015,2,NOVEMBER,05168761,3D,780 
2015,2,NOVEMBER,05168762,3D,80 
2015,2,NOVEMBER,05168763,CD3D,21 
2015,2,NOVEMBER,05168764,CD3D,8 
2015,2,NOVEMBER,05168765,CD3D,10 
2015,2,NOVEMBER,05168766,CD3D,5 
2015,2,NOVEMBER,05168767,CD3D,15 
2015,2,NOVEMBER,05168768,CD3P,2 
2015,2,NOVEMBER,05168769,CD3P,2 
2015,2,NOVEMBER,05168770,CD3P,2 
2015,2,NOVEMBER,05168771,CD3D,2 
2015,2,NOVEMBER,05168772,CD3D,2 
2015,2,NOVEMBER,05168773,CD3D,1 
2015,2,NOVEMBER,05168774,CD3D,12 
2015,2,NOVEMBER,05168775,CD3D,0 
2015,2,NOVEMBER,05168776,CD3D,41 
2015,2,NOVEMBER,05168777,CD3D,13 
2015,2,NOVEMBER,05168778,CD3D,15 
2015,2,NOVEMBER,05168779,CD3D,22 
2015,12,SEPTEMBER,05168780,CD3D,4 
2015,12,SEPTEMBER,05168781,CD3P,15 
2015,12,SEPTEMBER,05168782,CD3D,1 
2015,12,SEPTEMBER,05168783,CD3D,1 
2015,12,SEPTEMBER,05168784,CD3D,2 
2015,12,SEPTEMBER,05168785,CD3D,2 
2015,12,SEPTEMBER,05168786,CD3D,6 
2015,12,SEPTEMBER,05168787,CD3D,2 
2015,12,SEPTEMBER,05168788,CD3D,7 
2015,12,SEPTEMBER,05168789,CD3P,10 
2015,12,SEPTEMBER,05168790,CD3D,0 
2015,12,SEPTEMBER,05168791,CD3D,2 
2015,12,SEPTEMBER,05168792,CD3P,2 
2015,12,SEPTEMBER,05168793,CD3D,22 
2015,12,SEPTEMBER,05168794,CD3D,9 
2015,12,SEPTEMBER,05168795,CD3D,10 
2015,12,SEPTEMBER,05168796,CD3D,2 
2015,12,SEPTEMBER,05168797,CD3M,12 
2015,12,SEPTEMBER,05168798,CD3D,7 
2015,12,SEPTEMBER,05168799,CD3D,1 
2015,12,SEPTEMBER,05168800,CD3D,23 
2015,12,SEPTEMBER,05168801,CD3D,28 
2015,12,SEPTEMBER,05168802,CD3D,0 
2015,12,SEPTEMBER,05168803,CD3D,4 
2015,12,SEPTEMBER,05168804,CD3D,13 
2015,12,SEPTEMBER,05168805,CD3P,2 
2015,12,SEPTEMBER,05168806,3D,432 
2015,12,SEPTEMBER,05168807,CD3P,39 
2015,12,SEPTEMBER,05168808,CD3P,0 
2015,12,SEPTEMBER,05168809,CD3P,5 
2015,12,SEPTEMBER,05168810,CD3P,1 
2015,12,SEPTEMBER,05168811,CD3P,12 
2015,12,SEPTEMBER,05168812,CD3P,9 
2015,12,SEPTEMBER,05168813,CD3P,88 
2015,12,SEPTEMBER,05168814,CD3P,20 
2015,12,SEPTEMBER,05168815,3P,60 
2015,12,SEPTEMBER,05168816,3P,125 
2015,12,SEPTEMBER,05168817,CD3P,0 
2015,12,SEPTEMBER,05168818,3D,8 
2015,12,SEPTEMBER,05168819,3D,56 
2015,12,SEPTEMBER,05168820,3D,72 
2015,12,SEPTEMBER,05168821,3D,48 
2015,12,SEPTEMBER,05168822,3D,71 
2015,12,SEPTEMBER,05168823,3D,54 
2015,12,SEPTEMBER,05168824,3D,180 
2015,12,SEPTEMBER,05168825,3D,70 
2015,12,SEPTEMBER,05168826,CD3D,8 
2015,12,SEPTEMBER,05168827,CD3D,4 
2015,12,SEPTEMBER,05168828,CD3P,0 
2015,12,SEPTEMBER,05168829,CD3P,2 
2015,12,SEPTEMBER,05168830,CD3D,10 
2015,12,SEPTEMBER,05168831,CD3D,3 
2015,12,SEPTEMBER,05168832,CD3D,1 
2015,12,SEPTEMBER,05168833,CD3D,6 
2015,12,SEPTEMBER,05168834,CD3D,3 
2015,12,SEPTEMBER,05168835,CD3D,3 
2015,12,SEPTEMBER,05168836,CD3D,1 
2015,12,SEPTEMBER,05168837,CD3D,6 
2015,12,SEPTEMBER,05168838,CD3D,18 
2015,12,SEPTEMBER,05168839,3D,20 
2015,12,SEPTEMBER,05168840,3D,8 
2015,12,SEPTEMBER,05168841,3D,800 
2015,12,SEPTEMBER,05168842,3D,420 
2015,12,SEPTEMBER,05168843,CD3D,0 
2015,12,SEPTEMBER,05168844,CD3L,66 
2015,12,SEPTEMBER,05168845,CD3L,0 
2015,12,SEPTEMBER,05168846,CD3L,12 
2015,12,SEPTEMBER,05168847,CD3L,54 
2015,12,SEPTEMBER,05168848,CD3L,6 
2015,12,SEPTEMBER,05168849,CD3L,48 
2015,12,SEPTEMBER,05168850,CD3L,12 
2015,12,SEPTEMBER,05168851,CD3L,72 
2015,12,SEPTEMBER,05168852,CD3L,12 
2015,12,SEPTEMBER,05168853,CD3L,12 
2015,12,SEPTEMBER,05168854,CD3L,6 
2015,12,SEPTEMBER,05168855,CD3L,12 
2015,12,SEPTEMBER,05168856,CD3L,0 
2015,12,SEPTEMBER,05168857,CD3L,12 
2015,12,SEPTEMBER,05168858,CD3L,12 
2015,12,SEPTEMBER,05168859,CD3L,1 
2015,12,SEPTEMBER,05168860,CD3L,1 
2015,12,SEPTEMBER,05168861,CD3L,48 
2015,12,SEPTEMBER,05168862,CD3L,25 
2015,12,SEPTEMBER,05168863,CD3L,7 
2015,12,SEPTEMBER,05168864,CD3L,12 
2015,12,SEPTEMBER,05168865,CD3L,7 
2015,12,SEPTEMBER,05168866,3L,40 
2015,12,SEPTEMBER,05168867,3L,40 
2015,12,SEPTEMBER,05168868,3L,0 
2015,12,SEPTEMBER,05168869,CD3M,2 
2015,12,SEPTEMBER,05168870,CD3M,3 
2015,12,SEPTEMBER,05168871,CD3D,0 
2015,12,SEPTEMBER,05168872,3D,510 
2015,12,SEPTEMBER,05168873,3D,216 
2015,12,SEPTEMBER,05168874,3D,20 
2015,12,SEPTEMBER,05168875,3L,480 
2015,12,SEPTEMBER,05168876,3L,672 
2015,12,SEPTEMBER,05168877,CD3L,12 
2015,12,SEPTEMBER,05168878,CD3L,12 
2015,12,SEPTEMBER,05168879,CD3L,12 
2015,12,SEPTEMBER,05168880,CD3L,36 
2015,12,SEPTEMBER,05168881,CD3L,12 
2015,12,SEPTEMBER,05168882,CD3L,12 
2015,12,SEPTEMBER,05168883,CD3L,24 
2015,2,NOVEMBER,05168884,3P,312 
2015,2,NOVEMBER,05168885,3P,25 
2015,2,NOVEMBER,05168886,3D,117 
2015,2,NOVEMBER,05168887,3D,210 
2015,2,NOVEMBER,05168888,3D,36 
2015,2,NOVEMBER,05168889,3D,240 
2015,2,NOVEMBER,05168890,3D,20 
2015,2,NOVEMBER,05168891,3D,150 
2015,2,NOVEMBER,05168892,3D,22 
2015,2,NOVEMBER,05168893,3P,336 
2015,2,NOVEMBER,05168894,3D,360 
2015,2,NOVEMBER,05168895,3D,15 
2015,2,NOVEMBER,05168896,3D,54 
2015,2,NOVEMBER,05168897,3D,351 
2015,2,NOVEMBER,05168898,CD3D,2 
2015,2,NOVEMBER,05168899,CD3D,2 
2015,2,NOVEMBER,05168900,3D,4608 
2015,2,NOVEMBER,05168901,3D,352 
2015,2,NOVEMBER,05168902,3L,600 
2015,2,NOVEMBER,05168903,3L,180 
2015,2,NOVEMBER,05168904,CD3L,12 
2015,2,NOVEMBER,05168905,CD3L,1 
2015,2,NOVEMBER,05168906,CD3L,6 
2015,2,NOVEMBER,05168907,CD3L,144 
2015,2,NOVEMBER,05168908,CD3L,12 
2015,2,NOVEMBER,05168909,CD3L,324 
2015,2,NOVEMBER,05168910,CD3L,60 
2015,2,NOVEMBER,05168911,CD3L,60 
2015,2,NOVEMBER,05168912,CD3L,12 
2015,2,NOVEMBER,05168913,CD3L,12 
2015,2,NOVEMBER,05168914,CD3L,89 
2015,2,NOVEMBER,05168915,CD3L,18 
2015,2,NOVEMBER,05168916,CD3L,31 
2015,2,NOVEMBER,05168917,CD3L,36 
2015,2,NOVEMBER,05168918,CD3L,24 
2015,2,NOVEMBER,05168919,CD3L,12 
2015,2,NOVEMBER,05168920,CD3L,36 
2015,2,NOVEMBER,05168921,CD3L,0 
2015,2,NOVEMBER,05168922,CD3L,36 
2015,2,NOVEMBER,05168923,CD3L,240 
2015,2,NOVEMBER,05168924,CD3L,133 
2015,2,NOVEMBER,05168925,CD3L,36 
2015,2,NOVEMBER,05168926,CD3L,12 
2015,2,NOVEMBER,05168927,CD3L,38 
2015,2,NOVEMBER,05168928,CD3L,120 
2015,2,NOVEMBER,05168929,CD3L,26 
2015,2,NOVEMBER,05168930,CD3L,54 
2015,2,NOVEMBER,05168931,CD3L,0 
2015,2,NOVEMBER,05168932,CD3L,12 
2015,2,NOVEMBER,05168933,CD3L,60 
2015,2,NOVEMBER,05168934,CD3L,60 
2015,2,NOVEMBER,05168935,CD3L,12 
2015,2,NOVEMBER,05168936,CD3L,8 
2015,2,NOVEMBER,05168937,CD3L,15 
2015,12,SEPTEMBER,05168938,CD3D,228 
2015,12,SEPTEMBER,05168939,CD3P,1800 
2015,12,SEPTEMBER,05168940,3D,264 
2015,12,SEPTEMBER,05168941,3D,30 
2015,12,SEPTEMBER,05168942,3D,110400 
2015,12,SEPTEMBER,05168943,3D,90 
2015,12,SEPTEMBER,05168944,CD3D,30 
2015,12,SEPTEMBER,05168945,CD3D,0 
2015,1,OCTOBER,05168946,CD3P,5 
2015,1,OCTOBER,05168947,CD3P,0 
2015,1,OCTOBER,05168948,CD3P,0 
2015,1,OCTOBER,05168949,CD3P,1 
2015,1,OCTOBER,05168950,CD3P,1 
2015,1,OCTOBER,05168951,CD3P,64 
2015,1,OCTOBER,05168952,CD3P,6 
2015,1,OCTOBER,05168953,3P,595 
2015,1,OCTOBER,05168954,3P,2936 
2015,1,OCTOBER,05168955,3P,945 
2015,1,OCTOBER,05168956,3D,456 
2015,1,OCTOBER,05168957,3D,135 
2015,1,OCTOBER,05168958,3D,432 
2015,1,OCTOBER,05168959,3D,144 
2015,1,OCTOBER,05168960,3D,266 
2015,1,OCTOBER,05168961,3P,240 
2015,1,OCTOBER,05168962,3D,300 
2015,1,OCTOBER,05168963,CD3D,6 
2015,1,OCTOBER,05168964,CD3D,1 
2015,1,OCTOBER,05168965,CD3D,2 
2015,1,OCTOBER,05168966,CD3D,2 
2015,1,OCTOBER,05168967,CD3D,1 
2015,1,OCTOBER,05168968,CD3D,1 
2015,1,OCTOBER,05168969,CD3P,8 
2015,1,OCTOBER,05168970,CD3D,1 
2015,1,OCTOBER,05168971,CD3D,1 
2015,2,NOVEMBER,05168972,3D,936 
2015,2,NOVEMBER,05168973,3D,40 
2015,2,NOVEMBER,05168974,3L,1344 
2015,2,NOVEMBER,05168975,3L,120 
2015,2,NOVEMBER,05168976,3L,960 
2015,2,NOVEMBER,05168977,CD3L,12 
2015,2,NOVEMBER,05168978,CD3L,12 
2015,2,NOVEMBER,05168979,CD3L,24 
2015,2,NOVEMBER,05168980,CD3L,12 
2015,2,NOVEMBER,05168981,CD3L,12 
2015,2,NOVEMBER,05168982,CD3L,36 
2015,2,NOVEMBER,05168983,CD3L,12 
2015,2,NOVEMBER,05168984,CD3L,24 
2015,2,NOVEMBER,05168985,CD3L,12 
2015,2,NOVEMBER,05168986,CD3L,6 
2015,2,NOVEMBER,05168987,CD3L,12 
2015,2,NOVEMBER,05168988,CD3L,12 
2015,2,NOVEMBER,05168989,CD3L,2 
2015,2,NOVEMBER,05168990,3L,672 
2015,2,NOVEMBER,05168991,CD3L,17 
2015,2,NOVEMBER,05168992,CD3L,90 
2015,2,NOVEMBER,05168993,3L,200 
2015,2,NOVEMBER,05168994,CD3L,5 
2015,2,NOVEMBER,05168995,CD3L,6 
2015,2,NOVEMBER,05168996,CD3L,40 
2015,2,NOVEMBER,05168997,CD3L,2 
2015,2,NOVEMBER,05168998,CD3L,1 
2015,2,NOVEMBER,05168999,CD3L,1 
2015,2,NOVEMBER,05169000,CD3P,2 
2015,2,NOVEMBER,05169001,CD3P,2 
2015,2,NOVEMBER,05169002,3D,200 
2015,2,NOVEMBER,05169003,3D,1056 
2015,2,NOVEMBER,05169004,3D,900 
2015,2,NOVEMBER,05169005,3D,96 
2015,2,NOVEMBER,05169006,3L,1296 
2015,2,NOVEMBER,05169007,3L,156 
2015,2,NOVEMBER,05169008,3L,300 
2015,2,NOVEMBER,05169009,3L,672 
2015,2,NOVEMBER,05169010,3L,180 
2015,2,NOVEMBER,05169011,3L,36 
2015,2,NOVEMBER,05169012,3L,288 
2015,2,NOVEMBER,05169013,3L,1152 
2015,2,NOVEMBER,05169014,CD3L,48 
2015,2,NOVEMBER,05169015,CD3L,48 
2015,2,NOVEMBER,05169016,CD3L,252 
2015,2,NOVEMBER,05169017,CD3L,3 
2015,2,NOVEMBER,05169018,CD3L,12 
2015,2,NOVEMBER,05169019,CD3L,6 
2015,2,NOVEMBER,05169020,CD3L,48 
2015,2,NOVEMBER,05169021,CD3L,24 
2015,2,NOVEMBER,05169022,3D,27 
2015,2,NOVEMBER,05169023,CD3P,8 
2015,2,NOVEMBER,05169024,CD3D,1 
2015,2,NOVEMBER,05169025,CD3D,1 
2015,2,NOVEMBER,05169026,CD3D,1 
2015,2,NOVEMBER,05169027,CD3P,1 
2015,2,NOVEMBER,05169028,CD3P,55 
2015,2,NOVEMBER,05169029,CD3D,1 
2015,2,NOVEMBER,05169030,CD3P,12 
2015,2,NOVEMBER,05169031,CD3D,2 
2015,2,NOVEMBER,05169032,CD3D,1 
2015,2,NOVEMBER,05169033,CD3D,1 
2015,2,NOVEMBER,05169034,CD3D,3 
2015,2,NOVEMBER,05169035,CD3D,1 
2015,2,NOVEMBER,05169036,CD3D,7 
2015,2,NOVEMBER,05169037,CD3D,30 
2015,2,NOVEMBER,05169038,CD3P,0 
2015,2,NOVEMBER,05169039,3L,25 
2015,2,NOVEMBER,05169040,3L,408 
2015,2,NOVEMBER,05169041,3L,60 
2015,2,NOVEMBER,05169042,3L,300 
2015,2,NOVEMBER,05169043,CD3L,2 
2015,2,NOVEMBER,05169044,CD3L,1 
2015,2,NOVEMBER,05169045,CD3L,19 
2015,2,NOVEMBER,05169046,CD3L,814 
2015,2,NOVEMBER,05169047,CD3L,12 
2015,2,NOVEMBER,05169048,CD3L,2 
2015,2,NOVEMBER,05169049,CD3L,8 
2015,2,NOVEMBER,05169050,CD3L,24 
2015,2,NOVEMBER,05169051,CD3L,36 
2015,2,NOVEMBER,05169052,3L,72 
2015,2,NOVEMBER,05169053,3L,180 
2015,2,NOVEMBER,05169054,3L,528 
2015,2,NOVEMBER,05169055,CD3M,0 
2015,2,NOVEMBER,05169056,CD3D,1 
2015,2,NOVEMBER,05169057,CD3L,20 
2015,2,NOVEMBER,05169058,CD3L,0 
2015,2,NOVEMBER,05169059,CD3L,1 
2015,2,NOVEMBER,05169060,CD3L,2 
2015,2,NOVEMBER,05169061,CD3L,33 
2015,2,NOVEMBER,05169062,CD3L,120 
2015,2,NOVEMBER,05169063,CD3L,21 
2015,2,NOVEMBER,05169064,CD3L,2 
2015,2,NOVEMBER,05169065,CD3L,1 
2015,2,NOVEMBER,05169066,CD3L,60 
2015,2,NOVEMBER,05169067,CD3L,2 
2015,2,NOVEMBER,05169068,CD3L,1 
2015,2,NOVEMBER,05169069,CD3L,3 
2015,1,OCTOBER,05169070,CD3P,14 
2015,1,OCTOBER,05169071,3P,980 
2015,1,OCTOBER,05169072,3P,48 
2015,1,OCTOBER,05169073,3P,40 
2015,1,OCTOBER,05169074,3P,40 
2015,1,OCTOBER,05169075,CD3P,6 
2015,1,OCTOBER,05169076,CD3P,3 
2015,1,OCTOBER,05169077,CD3P,3 
2015,12,SEPTEMBER,05169078,CD3L,4 
2015,12,SEPTEMBER,05169079,CD3L,36 
2015,12,SEPTEMBER,05169080,CD3L,12 
2015,12,SEPTEMBER,05169081,CD3L,60 
2015,12,SEPTEMBER,05169082,CD3L,12 
2015,12,SEPTEMBER,05169083,CD3L,24 
2015,12,SEPTEMBER,05169084,CD3L,12 
2015,12,SEPTEMBER,05169085,CD3L,12 
2015,12,SEPTEMBER,05169086,CD3L,12 
2015,12,SEPTEMBER,05169087,CD3L,6 
2015,12,SEPTEMBER,05169088,CD3L,6 
2015,12,SEPTEMBER,05169089,CD3L,24 
2015,12,SEPTEMBER,05169090,CD3L,12 
2015,12,SEPTEMBER,05169091,CD3L,14 
2015,12,SEPTEMBER,05169092,3L,264 
2015,12,SEPTEMBER,05169093,3L,672 
2015,12,SEPTEMBER,05169094,CD3L,2 
2015,12,SEPTEMBER,05169095,CD3L,1 
2015,12,SEPTEMBER,05169096,CD3L,36 
2015,12,SEPTEMBER,05169097,3L,80 
2015,12,SEPTEMBER,05169098,3L,25 
2015,12,SEPTEMBER,05169099,3L,50 
2015,12,SEPTEMBER,05169100,3L,75 
2015,12,SEPTEMBER,05169101,3D,1320 
2015,12,SEPTEMBER,05169102,CD3L,6 
2015,12,SEPTEMBER,05169103,CD3L,1 
2015,12,SEPTEMBER,05169104,CD3L,2 
2015,12,SEPTEMBER,05169105,CD3L,2 
2015,12,SEPTEMBER,05169106,CD3L,6 
2015,12,SEPTEMBER,05169107,CD3L,8 
2015,12,SEPTEMBER,05169108,CD3L,2 
2015,12,SEPTEMBER,05169109,CD3L,48 
2015,12,SEPTEMBER,05169110,CD3L,2 
2015,12,SEPTEMBER,05169111,CD3L,4 
2015,12,SEPTEMBER,05169112,3P,10996 
2015,12,SEPTEMBER,05169113,CD3P,36 
2015,12,SEPTEMBER,05169114,3P,7008 
2015,12,SEPTEMBER,05169115,CD3P,2560 
2015,12,SEPTEMBER,05169116,3D,16 
2015,12,SEPTEMBER,05169117,CD3D,6 
2015,12,SEPTEMBER,05169118,CD3D,4 
2015,12,SEPTEMBER,05169119,3L,2016 
2015,12,SEPTEMBER,05169120,3L,336 
2015,12,SEPTEMBER,05169121,3L,672 
2015,12,SEPTEMBER,05169122,CD3L,2 
2015,12,SEPTEMBER,05169123,CD3L,24 
2015,12,SEPTEMBER,05169124,CD3L,12 
2015,12,SEPTEMBER,05169125,CD3L,24 
2015,12,SEPTEMBER,05169126,CD3L,12 
2015,12,SEPTEMBER,05169127,CD3L,12 
2015,12,SEPTEMBER,05169128,CD3L,24 
2015,12,SEPTEMBER,05169129,CD3L,32 
2015,12,SEPTEMBER,05169130,CD3L,12 
2015,12,SEPTEMBER,05169131,CD3L,11 
2015,12,SEPTEMBER,05169132,CD3L,48 
2015,12,SEPTEMBER,05169133,CD3L,12 
2015,12,SEPTEMBER,05169134,CD3L,24 
2015,12,SEPTEMBER,05169135,CD3L,12 
2015,12,SEPTEMBER,05169136,CD3L,54 
2015,12,SEPTEMBER,05169137,CD3L,6 
2015,12,SEPTEMBER,05169138,CD3L,24 
2015,12,SEPTEMBER,05169139,CD3L,24 
2015,12,SEPTEMBER,05169140,CD3L,12 
2015,12,SEPTEMBER,05169141,CD3L,12 
2015,12,SEPTEMBER,05169142,CD3L,24 
2015,12,SEPTEMBER,05169143,CD3L,12 
2015,12,SEPTEMBER,05169144,CD3L,24 
2015,12,SEPTEMBER,05169145,CD3L,2 
2015,12,SEPTEMBER,05169146,CD3L,36 
2015,12,SEPTEMBER,05169147,CD3L,48 
2015,12,SEPTEMBER,05169148,CD3L,6 
2015,12,SEPTEMBER,05169149,CD3L,13 
2015,12,SEPTEMBER,05169150,CD3L,22 
2015,12,SEPTEMBER,05169151,CD3L,48 
2015,12,SEPTEMBER,05169152,CD3L,108 
2015,12,SEPTEMBER,05169153,CD3L,84 
2015,12,SEPTEMBER,05169154,CD3L,12 
2015,12,SEPTEMBER,05169155,CD3L,12 
